LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Mandikhatar, Kathmandu",75000000.0,3114.475,16.0,SOUTH-WEST,3.5,8.0,6.0,Bungalow,7.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",27500000.0,1060.9750000000001,13.0,WEST,3.0,5.0,3.0,House,6.0,0,1,1,0,1,0,1,1,1,0,0,11
Other,28500000.0,1095.2,12.0,EAST,2.5,6.0,5.0,House,6.0,1,1,1,0,1,0,1,0,0,0,0,11
"Hattigaunda, Kathmandu",31500000.0,1369.0,14.0,EAST,2.5,6.0,5.0,House,3.0,2,1,1,0,1,1,1,0,0,0,1,11
"Tikathali, Lalitpur",27500000.0,1369.0,13.0,NORTH,2.5,7.0,4.0,House,10.0,1,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",23500000.0,1026.75,13.0,EAST,3.5,6.0,4.0,House,9.0,0,1,1,0,1,1,1,0,0,1,1,11
"Thaiba, Lalitpur",29000000.0,1779.7,20.0,NORTH-EAST,2.5,6.0,4.0,House,9.0,1,1,1,1,1,1,1,0,0,0,1,11
"Tikathali, Lalitpur",25500000.0,1026.75,13.0,NORTH,3.0,6.0,5.0,House,9.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",32500000.0,1369.0,20.0,NORTH,2.5,3.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",27000000.0,1129.425,13.0,EAST,3.5,5.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",24500000.0,1060.9750000000001,13.0,WEST,2.5,4.0,4.0,House,10.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",29500000.0,1437.45,13.0,NORTH,2.5,5.0,5.0,House,10.0,1,1,1,0,1,1,1,0,0,0,1,11
Other,25000000.0,1369.0,12.0,NORTH-EAST,2.5,5.0,3.0,House,3.0,1,1,0,0,1,0,1,1,1,0,0,11
"Khumaltar, Lalitpur",45000000.0,2053.5,13.0,SOUTH,2.5,6.0,3.0,House,9.0,2,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",24000000.0,787.175,13.0,EAST,3.0,4.0,4.0,House,10.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",23000000.0,752.95,13.0,NORTH,3.0,4.0,4.0,House,10.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",26500000.0,1369.0,13.0,SOUTH-WEST,3.0,4.0,5.0,House,9.0,1,1,1,0,1,1,1,0,0,0,1,11
"Tikathali, Lalitpur",32000000.0,1403.225,13.0,NORTH-WEST,2.5,5.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",29000000.0,1026.75,13.0,EAST,2.5,5.0,5.0,House,7.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",27500000.0,1026.75,20.0,WEST,3.5,6.0,4.0,House,9.0,0,0,1,0,1,1,1,0,0,1,1,11
"Tikathali, Lalitpur",25500000.0,1095.2,13.0,NORTH-EAST,3.0,6.0,6.0,House,10.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",27500000.0,1060.9750000000001,13.0,WEST,2.5,5.0,5.0,House,10.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",34000000.0,1095.2,26.0,WEST,3.0,5.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Nakkhu, Lalitpur",27500000.0,1095.2,20.0,EAST,2.5,4.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",42500000.0,1403.225,20.0,NORTH-EAST,2.5,5.0,3.0,House,10.0,1,1,1,0,1,1,1,0,0,0,1,11
"Sanagaun, Lalitpur",16000000.0,1779.7,13.0,NORTH-EAST,2.5,4.0,3.0,House,13.0,1,1,1,0,1,1,1,1,1,0,1,11
Other,35500000.0,1095.2,13.0,NORTH,2.5,6.0,4.0,House,4.0,1,1,1,0,1,1,1,0,0,0,0,11
"Imadol, Lalitpur",27500000.0,1026.75,13.0,NORTH-EAST,2.5,6.0,4.0,House,11.0,0,1,1,0,1,1,1,0,1,0,1,11
"Lubhu, Lalitpur",59000000.0,2429.975,20.0,EAST,2.5,6.0,5.0,House,9.0,2,1,1,0,1,1,1,0,0,0,1,11
Other,27500000.0,1369.0,12.0,WEST,3.0,5.0,3.0,House,7.0,1,1,1,0,1,1,1,0,0,1,1,11
"Hattiban, Lalitpur",28000000.0,1060.9750000000001,13.0,SOUTH,2.5,6.0,4.0,House,13.0,1,1,1,0,1,1,1,0,0,1,1,11
"Hattiban, Lalitpur",32500000.0,1369.0,14.0,NORTH-WEST,2.5,6.0,4.0,House,20.0,1,1,1,0,1,1,1,0,0,0,1,11
"Sundarbasti, Kathmandu",39000000.0,1437.45,13.0,EAST,2.5,6.0,5.0,House,12.0,2,1,1,1,1,1,1,0,0,1,1,11
"Narayanthan, Kathmandu",42500000.0,1369.0,20.0,WEST,2.5,4.0,6.0,House,17.0,2,1,1,1,1,1,1,0,0,0,1,11
Other,34000000.0,1403.225,13.0,SOUTH-WEST,2.5,5.0,4.0,House,11.0,2,1,1,0,1,1,1,0,0,1,1,11
"Dhapasi, Kathmandu",47500000.0,2395.75,20.0,EAST,3.0,4.0,5.0,Bungalow,15.0,2,1,1,1,1,1,1,0,0,0,1,11
